,Phy,HBac
2024-12-15,237724.65773895607,937986.9976227401
2024-12-16,155057.77660191053,928512.2643654434
2024-12-17,78679.56273003799,918572.4488072405
2024-12-18,231196.64985242387,909015.1139701189
2024-12-19,126295.63912022632,901952.521736879
2024-12-20,94221.27668484798,894194.5389503223
2024-12-21,93814.98433633317,887204.8600551782
2024-12-22,81939.50707428863,880545.9657713966
2024-12-23,212384.2395994221,874603.5122561775
2024-12-24,217825.48097837332,869260.2018653816
2024-12-25,102356.52311820192,864334.1233625767
2024-12-26,144523.25306268182,856919.7878881649
2024-12-27,175524.0841231544,851683.4770779262
2024-12-28,143915.3017470215,846422.0351982085
2024-12-29,122669.90940452678,841077.352959851
2024-12-30,153319.99901161582,835721.7333001143
2024-12-31,196089.44829890685,829904.3267165574
2025-01-01,183359.9830892783,822771.7593248318
2025-01-02,104196.7159562668,816029.6375347704
2025-01-03,96017.28974829885,809031.019441968
2025-01-04,102000.12956363917,802598.9561879067
2025-01-05,151216.0019241384,797196.0661444095
2025-01-06,257254.92483373266,792491.6974218938
2025-01-07,179941.65474255002,786925.6243426366
2025-01-08,267083.01016357273,780473.893247533
2025-01-09,316221.61282102077,774267.4130905585
2025-01-10,292957.29566557484,766716.9857121812
2025-01-11,358339.89136197313,759772.6031251687
2025-01-12,360250.48624019127,752498.5546993975
2025-01-13,356581.8097159472,744866.8491423974
2025-01-14,372548.0470730511,737186.3023282675
2025-01-15,438643.08133358124,729640.6705067385
2025-01-16,428702.63828413497,721767.1642184956
2025-01-17,496923.9736086014,714535.141813933
2025-01-18,531673.408970978,707483.951418584
2025-01-19,573572.1719147819,700170.1830690175
2025-01-20,549910.8990257144,692908.3630366497
2025-01-21,581947.413684671,685365.6958235977
2025-01-22,500891.42642018956,679143.0056233163
2025-01-23,495208.7761234019,672788.1410261384
2025-01-24,615887.257798373,666963.4516130077
2025-01-25,690295.5015818449,662413.9318717414
2025-01-26,715922.1671609181,658596.9584450012
2025-01-27,749746.5456224936,656128.5960437137
2025-01-28,774602.1937837536,654849.5455402615
2025-01-29,749773.6460371593,655018.1043732666
2025-01-30,426528.25805800594,656874.288446154
2025-01-31,235373.73741683178,659309.9662391238
2025-02-01,365404.8225810217,661681.1266082708
2025-02-02,394767.6536411706,663796.7851921242
2025-02-03,296329.2125684429,664995.5527592406
2025-02-04,397323.8116546047,665308.6993630558
2025-02-05,477564.81785029033,665565.5281487238
2025-02-06,509749.5598595465,665930.0763496906
2025-02-07,644007.5003905374,665901.4350680592
2025-02-08,595929.8350959172,666722.6213084088
2025-02-09,727020.6877960908,667887.329738723
2025-02-10,771332.122168252,668668.6263299646
2025-02-11,888477.8323488897,668539.1923035269
2025-02-12,944760.3883410981,668429.6552480997
2025-02-13,922020.0375263353,668758.0309148468
2025-02-14,922394.0631593447,669673.537092258
2025-02-15,533078.9338707284,672912.7725409355
2025-02-16,329743.3440380618,675557.8181614643
2025-02-17,543009.0456230955,678090.6652475933
2025-02-18,583598.492495981,682104.3097672968
2025-02-19,428218.4030884379,685194.0780837974
2025-02-20,472268.08487906214,688754.2632697177
2025-02-21,363924.2281642532,692309.6767603501
2025-02-22,252801.60229131006,694550.8154353857
2025-02-23,492712.1617693283,696979.2206392322
2025-02-24,356243.41101441486,699958.8992739189
2025-02-25,431965.4582289554,701880.7988104144
2025-02-26,654639.706043279,706460.8910895913
2025-02-27,563730.3736362036,709352.5767612521
2025-02-28,840787.3027893261,711388.0975939248
2025-03-01,941226.9839885549,713302.6261136703
2025-03-02,923986.8386525674,715139.6315712255
2025-03-03,1082612.2121153048,718305.8258970135
2025-03-04,811078.5050499794,721661.651451901
2025-03-05,1173441.3167109708,723563.4240382495
2025-03-06,1608729.1437573659,726570.9987002037
2025-03-07,1450273.0713303797,732111.0816479177
2025-03-08,787879.9670745471,739407.0433856421
2025-03-09,643425.1379459081,746431.3045070432
2025-03-10,1026639.7456787882,753187.5963991295
2025-03-11,818359.7935607091,760315.1006873054
2025-03-12,712337.1106698264,766729.3677781966
2025-03-13,1181742.4893091659,772555.6301829416
2025-03-14,1216605.2896544405,779660.8287529498
2025-03-15,990365.3990676476,786851.5859583097
2025-03-16,1197980.2684800294,794215.2153910707
2025-03-17,1561169.2910886165,802631.421916907
2025-03-18,1925235.8861013392,812384.1767838845
2025-03-19,1292529.5521780297,824106.7479021252
2025-03-20,1134320.29946584,834778.0849930219
2025-03-21,1310683.1772045386,846800.6532737289
2025-03-22,1612071.6040943842,860071.663381429
2025-03-23,885324.828735973,875307.2359497453
